miRNAs	10_S10	11_S11	12_S12	13_S13	14_S14	15_S15	16_S16	17_S17	18_S18	19_S19	1_S1	20_S20	21_S21	22_S22	23_S23	24_S24	25_S25	26_S26	27_S27	28_S28	29_S29	2_S2	30_S30	31_S31	32_S32	33_S33	34_S34	35_S35	36_S36	37_S37	38_S38	39_S39	3_S3	40_S40	41_S41	42_S42	43_S43	44_S44	45_S45	46_S46	47_S47	48_S48	49_S49	4_S4	50_S50	51_S51	52_S52	53_S53	54_S54	5_S5	6_S6	7_S7	8_S8	9_S9
hsa-miR-548o-2-3p	244	378	196	479	361	162	58	67	48	62	213	61	57	45	21	22	44	3	0	39	20	480	60	28	63	12	57	18	31	14	48	50	188	47	52	47	103	128	95	77	111	57	64	173	108	11	4	26	26	0	0	317	192	321
hsa-miR-27a-3p	1352	941	356	989	752	636	749	479	196	538	923	261	129	80	53	62	126	20	6	430	247	1208	288	5704	16485	3852	7944	12994	9762	9624	12847	13780	1580	6006	10120	11910	14732	8971	18330	21624	18691	17217	15895	1585	21857	2064	34	20584	3853	36	50	1270	1203	835
hsa-miR-325-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-5p	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6511b-1-5p	2	4	0	3	5	2	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	4	0	0	2	1	1	1	0	0	0	1	2	1	0	1	0	0	1	1	0	0	1	2	1	0	0	1	0	0	0	0	2	1
hsa-miR-371a-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3188-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-874-3p	177	67	46	131	151	95	18	11	3	11	146	13	3	5	1	3	2	0	1	15	7	106	27	24	57	18	27	22	30	38	29	15	280	26	38	26	5	12	8	11	8	9	14	198	10	4	4	20	2	1	0	180	175	172
hsa-miR-188-5p	40	32	27	46	41	34	26	22	7	11	24	3	6	2	2	4	8	1	0	7	1	7	6	4	8	1	1	2	7	10	5	4	59	0	10	7	1	2	0	3	3	1	2	81	4	0	0	7	1	0	0	37	31	30
hsa-miR-642a-5p	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	5	1	1
hsa-miR-5699-3p	2	4	3	1	1	3	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	3	2
hsa-miR-4449-5p	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3118-2-3p	21	3	3	17	6	15	26	3	4	7	2	4	0	1	1	0	1	0	1	2	2	15	4	0	0	0	0	0	1	0	0	1	43	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	52	19	34
hsa-miR-6854-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3132-5p	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3179-4-5p	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8054-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1224-5p	7	8	0	7	5	9	11	4	7	5	9	5	1	3	0	1	0	1	0	0	0	8	1	1	6	4	9	11	4	12	6	3	24	3	1	4	6	5	10	26	6	6	11	9	10	0	0	12	2	0	0	19	10	11
hsa-miR-6719-3p	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378d-1-3p	376	259	208	345	255	230	299	112	258	173	141	178	71	69	28	44	59	7	0	90	42	807	153	61	177	37	99	175	77	97	149	115	395	59	121	119	208	161	133	191	84	187	110	446	154	17	3	301	33	9	1	425	247	378
hsa-miR-4667-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180-5-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4533-5p	2	2	2	2	2	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	3	0	3
hsa-miR-515-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4315-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6778-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246-5p	141	178	54	119	40	122	41204	35111	11208	17921	91	26183	17737	12718	3355	5716	19667	1966	36	24717	8611	94	17288	45	178	9	140	79	281	102	54	138	343	42	114	49	2628	1637	1823	2320	987	3607	515	284	699	356	171	3948	1231	22	21	364	109	264
hsa-miR-550a-3-3p	8	15	9	9	12	14	1	0	0	1	13	0	0	0	0	0	0	0	0	0	0	5	1	2	1	0	1	2	0	0	0	1	16	1	0	0	0	0	1	0	3	2	0	14	1	0	0	1	0	0	0	9	12	12
hsa-miR-3908-3p	0	1	0	3	0	1	2	2	2	1	0	0	0	3	0	0	1	0	0	7	0	0	5	0	1	0	3	3	3	3	4	2	6	2	1	1	1	0	0	2	1	0	0	2	1	0	0	1	5	0	0	1	1	0
hsa-miR-374a-5p	576	263	272	431	501	336	36	22	9	39	400	27	13	9	4	7	12	1	1	25	17	215	30	63	141	39	78	101	68	53	102	109	410	67	51	123	78	87	52	59	103	58	58	366	130	6	2	50	35	0	2	487	517	387
hsa-miR-519a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4770-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-335-5p	1	1	1	1	1	0	9	7	2	3	1	1	0	1	0	0	1	0	0	8	2	0	12	18	39	12	24	96	30	66	24	29	4	12	33	50	83	34	34	36	43	18	30	1	46	15	1	314	36	0	0	1	2	1
hsa-miR-212-5p	38	34	4	39	28	20	19	12	12	17	30	37	4	2	3	3	5	1	0	13	2	89	7	4	9	4	8	7	7	2	1	5	68	3	5	3	8	3	2	2	8	1	3	30	4	0	0	3	1	0	0	75	49	54
hsa-miR-7-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-374c-5p	0	1	3	0	2	3	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	1	3	3	5	1	2	4	1	0	1	0	2	0	1	5	1	0	0	0	0	0	0	5	1	1
hsa-miR-23b-3p	374	314	171	508	418	359	54	63	18	83	341	23	15	16	6	24	24	1	1	89	21	279	83	212	566	160	332	1005	257	653	223	321	960	200	227	260	1210	637	447	636	1053	613	451	476	755	203	6	1814	251	9	8	553	248	391
hsa-miR-7854-3p	1	1	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0
hsa-miR-143-3p	100	59	24	65	58	57	74	58	123	127	49	50	78	33	9	84	80	4	2	234	27	146	283	6	29	7	19	5	6	7	8	13	145	9	2	18	36	38	19	25	7	20	9	119	13	8	1	148	2	5	1	121	73	138
hsa-miR-320c-2-3p	85	81	55	129	126	103	432	259	229	302	76	283	55	79	31	21	80	12	2	89	42	53	132	29	64	27	51	88	37	79	20	44	256	16	33	33	165	179	359	388	101	184	188	217	186	29	4	742	43	7	0	198	73	150
hsa-miR-4745-5p	1	2	0	2	0	0	2	1	8	1	0	2	1	0	1	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-6165-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7155-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-411-5p	0	0	0	0	0	0	3	1	1	5	0	4	0	0	0	2	1	0	0	8	0	0	11	0	2	0	1	3	1	3	0	0	0	1	0	6	1	1	3	0	2	1	1	0	2	1	0	4	0	0	0	0	0	1
hsa-miR-1206-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1306-5p	29	32	17	43	19	11	1	1	0	0	18	0	0	0	0	0	0	0	0	10	0	11	6	0	3	3	4	4	10	4	2	5	57	0	0	2	0	0	0	0	3	3	1	40	4	0	1	1	0	0	0	44	21	39
hsa-miR-4330-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548f-1-5p	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6074-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6087-3p	6	9	0	5	2	4	23	25	5	17	3	18	8	13	4	25	26	4	0	51	13	2	78	11	22	8	25	10	35	23	16	51	7	5	32	6	14	12	25	12	24	19	15	7	22	4	0	56	5	0	0	9	3	7
hsa-miR-641-5p	151	129	59	227	228	82	15	17	5	20	147	17	8	7	0	19	18	1	0	21	4	150	30	8	9	6	9	10	8	4	4	8	301	7	3	9	8	5	8	3	8	12	6	146	16	2	1	8	3	0	1	193	167	202
hsa-miR-219a-2-3p	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-492-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-518e-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-658-3p	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1
hsa-miR-520f-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3917-3p	0	3	1	1	1	0	0	0	1	0	4	0	0	0	0	0	0	1	0	2	3	1	2	0	2	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	1	1
hsa-miR-7855-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6724-3-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3139-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3177-5p	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	1	3
hsa-miR-550a-2-5p	46	73	24	58	43	22	12	15	1	11	19	9	3	2	1	8	3	0	0	6	3	33	16	1	7	1	8	5	0	5	4	3	62	3	1	2	7	4	7	4	5	6	4	73	6	0	1	6	2	1	0	61	23	47
hsa-miR-1244-2-3p	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0
hsa-miR-6810-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1303-5p	6	11	6	14	8	10	13	9	5	22	28	6	4	8	1	16	14	0	0	21	0	0	17	9	13	8	10	77	14	104	5	2	150	5	2	3	4	4	2	5	13	4	7	26	12	1	0	16	17	1	0	9	7	8
hsa-miR-1185-2-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-624-3p	1	2	1	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	2
hsa-miR-4722-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-148b-3p	7193	6735	2119	9496	7921	4706	4224	3228	1480	4225	6248	2071	889	607	255	179	459	78	23	1527	312	9390	1366	2066	4022	1411	2738	2928	1620	1433	3074	4464	6835	2954	2599	3872	3668	2395	1270	1132	1665	1554	911	5928	1616	600	99	1999	806	83	26	9865	6731	11747
hsa-miR-548ai-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6893-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-381-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3179-3-5p	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4459-5p	2	1	0	2	1	1	16	17	3	18	1	1	2	2	1	3	12	1	0	20	2	1	30	1	3	0	1	0	0	2	0	7	1	1	0	5	2	1	0	1	0	2	1	1	0	0	0	0	1	0	0	1	1	0
hsa-miR-135b-3p	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	16	20	10	13	18	16	19	7	20	0	5	11	5	14	8	3	2	11	1	5	1	11	0	1	7	0	0	0	0	0	0
hsa-miR-6861-3p	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0
hsa-miR-5581-3p	1	3	4	2	5	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	1
hsa-let-7g-5p	1427	2027	681	2362	1589	793	381	618	157	874	1211	150	194	292	52	329	415	15	16	822	322	2058	805	5434	22354	6488	10934	37630	10520	26153	6579	11632	5900	7061	8443	8824	8987	6368	4651	4289	10261	6956	5971	2970	8719	1227	56	20678	3064	47	66	3187	1804	1973
hsa-miR-1282-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-509-3-3p	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4516-5p	0	0	0	1	0	0	1	4	5	4	0	8	3	2	0	3	2	3	0	6	4	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	5	0	4	2	0	2	1	0	17	1	0	0	0	2	5
hsa-miR-6503-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-891b-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4469-3p	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155a-5p	2	5	1	7	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	1	0	1	4	0	1	1	1	0	0	1	0	1	0	6	1	0	0	1	0	0	0	4	1	7
hsa-miR-3666-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-346-5p	24	13	5	14	13	9	21	15	4	10	9	5	0	1	0	0	2	0	0	58	0	13	18	0	1	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	1	0	31	0	0	0	0	0	0	0	34	13	27
hsa-miR-6769b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
hsa-miR-2276-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1254-2-5p	10	29	5	33	17	8	10	6	7	7	14	5	0	3	0	3	2	0	0	5	1	9	5	10	12	2	12	4	6	9	5	5	36	3	3	1	1	1	2	0	5	0	3	10	5	1	1	14	2	0	0	23	11	16
hsa-miR-6738-3p	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
hsa-miR-4723-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-217-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-873-3p	2	0	3	0	0	0	5	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	3	5	0	1	2	0	4	7	1	3	1	6	3	6	11	10	11	4	13	3	2	7	0	0	30	3	0	0	5	1	2
hsa-miR-1289-1-3p	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	0	1	1	1	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	0
hsa-miR-548av-5p	3	1	1	1	3	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1
hsa-miR-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-572-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-3p	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-328-3p	303	146	48	203	134	144	223	124	34	64	241	145	9	15	12	9	15	23	0	284	67	223	219	35	133	80	107	127	162	208	97	101	685	39	44	57	27	18	50	35	26	15	27	469	35	18	2	189	9	0	1	363	437	312
hsa-miR-2052-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-572-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3159-5p	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
hsa-miR-3615-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-600-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-222-3p	1094	2741	577	2868	1482	812	556	500	188	441	1519	213	81	54	12	101	112	16	5	1136	147	2571	641	3979	7615	9661	14027	4058	10226	13652	5121	3339	2795	2966	4998	6877	2366	2922	5382	2856	1887	1966	3621	1233	5153	345	28	19190	1465	50	60	2971	1867	2666
hsa-miR-587-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-708-5p	377	108	95	399	300	255	132	91	19	147	275	27	12	47	5	22	53	0	3	117	13	264	84	1	1	0	0	0	4	9	2	1	1235	0	0	0	2	2	1	1	0	6	0	639	13	1	2	1	4	1	1	540	391	402
